"APPLIANCE","POOL","SHARE","PROJECT","EXPORT","DATACENTER"
"BO1ZFSDBAAS-M203Y","Pool-01","p4xd1dbvadm03_bck","DOM0_P4XD1","@192.168.10.31/32","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","p4xd1dbvadm03_bck","DOM0_P4XD1","@192.168.10.131/32","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","p4xd1dbvadm04_bck","DOM0_P4XD1","rw","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","p4xd1dbvadm04_bck","DOM0_P4XD1","root=@192.168.10.32/32","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","p4xd1dbvadm04_bck","DOM0_P4XD1","@192.168.10.33/32","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","p4xd1dbvadm04_bck","DOM0_P4XD1","@192.168.10.131/32","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","backup1","GESSGLES","@192.168.8.0/22","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","backup1","LIMADISC","@192.168.8.0/22","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","backup1","GIAPVES","rw","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","backup1","GIAPVES","root=@192.168.8.0/22","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","backup1","SDU","@192.168.8.0/22","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","p4xd1dbvadm01_bck","DOM0_EQ2A","rw","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","p4xd1dbvadm01_bck","DOM0_EQ2A","root=@192.168.10.131/32","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","p4xd1dbvadm01_bck","DOM0_EQ2A","@192.168.10.26/32","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","p4xd1dbvadm01_bck","DOM0_EQ2A","@192.168.10.27/32","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","p4xd1dbvadm02_bck","DOM0_EQ2A","rw","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","p4xd1dbvadm02_bck","DOM0_EQ2A","root=@192.168.10.131/32","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","p4xd1dbvadm02_bck","DOM0_EQ2A","@192.168.10.28/32","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","p4xd1dbvadm02_bck","DOM0_EQ2A","@192.168.10.29/32","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","backup1","CLOUDESE","@192.168.8.0/22","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","backup1","JIVE","@192.168.8.0/22","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","backup1","ITSM","@192.168.8.0/22","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","backup1","EFESB01","@192.168.8.0/22","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","backup1","PRBESE","@192.168.8.0/22","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","backup1","SORT","@192.168.8.0/22","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","backup1","MIDAES","rw","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","backup1","MIDAES","root=@192.168.8.0/22","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","backup1","ASAP119P","@192.168.8.0/22","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","backup1","CARMINE","@192.168.8.0/22","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","backup1","RTDGSRI","@192.168.8.0/22","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","backup1","BDATA","@192.168.8.0/22","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","backup1","dbm01","rw","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","backup1","dbm01","root=@192.168.8.0/22","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","backup1","DMASKAUT","@192.168.8.0/22","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","backup1","DWOPERA","@192.168.8.0/22","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","backup1","GEBPES","rw","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","backup1","GEBPES","root=@192.168.8.0/22","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","backup1","EBPMSYS","@192.168.8.0/22","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","backup1","GRDB","@192.168.8.0/22","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","backup1","CCSTOP","@192.168.8.0/22","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","backup1","PRN","@192.168.8.0/22","Bologna"
